                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5637,                0.86656,                0.94032,                0.95569,                0.89931,                0.96137,                0.85037,                0.51557,                0.77835,                0.85619,              0.0004387,              0.0004387,              0.0004387
                     37,                0.58647,                0.86872,                0.96307,                0.95387,                0.90363,                 0.9613,                 0.8558,                0.51334,                0.76575,                0.85223,             0.00041041,             0.00041041,             0.00041041
                     38,                0.59398,                 0.8421,                0.92204,                0.93759,                0.92646,                0.96571,                0.85916,                0.52333,                0.74972,                0.85221,             0.00038211,             0.00038211,             0.00038211
                     39,                0.59817,                0.84838,                0.93205,                0.93406,                0.92687,                0.96764,                0.86261,                0.50378,                0.73493,                0.84695,             0.00035382,             0.00035382,             0.00035382
                     40,                0.59775,                 0.8666,                 0.9539,                0.96074,                0.92374,                0.97313,                0.87401,                0.48771,                0.73252,                0.84556,             0.00032553,             0.00032553,             0.00032553
                     41,                0.54712,                   1.02,                0.92624,                0.96167,                0.91537,                0.97187,                 0.8656,                0.48676,                0.77448,                0.84571,             0.00029723,             0.00029723,             0.00029723
                     42,                0.51988,                0.98793,                 0.8797,                0.93679,                0.92199,                0.96983,                0.86156,                0.48963,                0.82224,                0.84489,             0.00026894,             0.00026894,             0.00026894
                     43,                0.51208,                 1.0059,                0.88427,                0.94506,                0.90204,                0.96561,                 0.8524,                0.49357,                0.85349,                 0.8459,             0.00024064,             0.00024064,             0.00024064
                     44,                0.49963,                0.96779,                0.88741,                0.96618,                0.91853,                  0.972,                0.85294,                0.49763,                0.84635,                0.84505,             0.00021235,             0.00021235,             0.00021235
                     45,                0.52057,                0.98333,                0.90089,                0.91625,                0.95001,                0.97135,                0.85521,                0.49452,                0.81712,                0.84433,             0.00018406,             0.00018406,             0.00018406
                     46,                0.48651,                0.92395,                0.88019,                0.92424,                0.94507,                0.96973,                0.85435,                0.48869,                0.77517,                0.84316,             0.00015576,             0.00015576,             0.00015576
                     47,                0.48921,                0.95248,                0.87639,                0.94787,                0.92436,                0.96782,                0.85878,                0.48198,                0.73858,                0.84216,             0.00012747,             0.00012747,             0.00012747
                     48,                0.48534,                0.91011,                0.87609,                0.96775,                0.91508,                0.97168,                0.86698,                0.47601,                 0.7065,                0.84107,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.47245,                0.92878,                0.83632,                0.95915,                0.93796,                0.97526,                0.87746,                0.46966,                  0.688,                0.83997,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.50444,                0.89069,                0.86851,                0.95753,                0.93636,                0.97658,                0.88086,                0.46555,                0.67918,                0.83932,             4.2584e-05,             4.2584e-05,             4.2584e-05
